"","Year","Number.thousands","quintile1","quintile2","median","quintile3","quintile4","p95","P90","P95","P99","P99.5","P99.9","P99.99","realGDP.M","GDP.Deflator","PopulationK","realGDPperCap","P95IRSvsCensus","personsPerFamily","realGDPperHouse","mean.median","personsPerFamily","realGDPperFamily"
"55",1967,50111,24193,39713,45987.782094813,53254,73007,117307,81314.812972973,105483.802162162,221147.782702703,317458.192432432,718869.671351351,2749924.51351351,4468429.5,21.12,198752,22482.439752,0.899211489187876,3.96623495839237,89170.6384943327,1.93900715434568,3.96623495839237,89170.6384943327
"56",1968,50823,25744,41358,48309.3218954686,56429,75918,116653,84890.6389189189,110166.48,233327.237837838,336573.851351351,797438.797297297,3148967.08432432,4684795.56,22.01,200745,23337.04602,0.944394743384225,3.94988489463432,92178.645559784,1.90809230895933,3.94988489463432,92178.645559784
"57",1969,51586,27118,43389,50413.3977728143,58575,80004,123133,86145.5475675676,110078.667027027,219948.012432432,315264.91027027,705956.058918919,2914292.01945946,4830324.12,23.1,202736,23825.688762,0.893981849114592,3.93005854301555,93636.3516623276,1.85737037769792,3.93005854301555,93636.3516623276
"58",1970,52227,26362,43006,50117.5161994287,58405,80280,125349,85775.9162162162,108751.261621622,208234.17027027,290188.18,606658.987027027,2049128.99837838,4839504.66,24.32,205089,23597.093316,0.867587787869242,3.92687690275145,92662.880714671,1.84891207189807,3.92687690275145,92662.880714671
"59",1971,53296,25805,42726,50021.6227045865,58563,80312,125410,87049.2043243243,111477.548108108,215762.601081081,299556.598918919,636480.681081081,2252489.54864865,5002034.22,25.53,207692,24083.89995,0.888904777195663,3.8969528670069,93853.8229588599,1.87626506067454,3.8969528670069,93853.8229588599
"60",1972,54373,26982,44713,52568.8782931498,61805,85388,133832,91583.8254054054,117177.222702703,228213.663783784,322057.141621622,691512.867027027,2469850.14162162,5267703.18,26.63,209924,25093.385328,0.875554596080928,3.86081327129274,96880.8750960048,1.84293213478419,3.86081327129274,96880.8750960048
"61",1973,55053,27514,45400,53627.0733864901,63345,87113,135808,93003.1281081081,119784.042702703,233095.452432432,318463.957297297,664725.825945946,2209608.22756757,5572927.8,28.11,211939,26294.959338,0.882010210758591,3.84972662706846,101228.405121181,1.88763620180479,3.84972662706846,101228.405121181
"62",1974,55698,27588,45074,52872.814886291,62021,85672,134563,90179.8389189189,116923.994594595,219761.154594595,305074.521081081,661174.505945946,2067310.36810811,5542212.66,30.66,213898,25910.54406,0.868916378161862,3.84031742611943,99504.7138738533,1.88196361566619,3.84031742611943,99504.7138738533
"63",1975,56245,26557,43730,51569.7580952248,60815,84202,131892,87205.4297297297,110983.344864865,207130.381621622,284544.664864865,574223.325405405,1792934.64972973,5530425.3,33.56,215981,25606.078818,0.841471392236564,3.84000355587163,98327.4337130493,1.90668789897144,3.84000355587163,98327.4337130493
"64",1976,56710,26974,44923,52982.1054791144,62487,86302,135642,89769.3643243243,114398.861081081,212423.665945946,289795.063783784,593447.218918919,1866358.54810811,5827149.42,35.49,218086,26719.50831,0.843388191571055,3.84563569035443,102753.494785658,1.93939998904278,3.84563569035443,102753.494785658
"65",1977,57215,27046,45292,53852.9232632733,64032,88224,139794,90760.8340540541,116068.328648649,215748.305945946,294990.324324324,611403.950810811,1994618.58486486,6095085.18,37.75,220289,27668.583468,0.8302811898125,3.85019662675872,106529.486735686,1.97815606434009,3.85019662675872,106529.486735686
"66",1978,57804,27867,46824,55403.0729833644,65554,91117,144459,92414.9854054054,117808.250810811,218801.338378378,300298.924864865,625907.386486487,1957668.72378378,6434991.84,40.4,222629,28904.556168,0.815513403877992,3.85144626669435,111324.344943701,2.00935325333177,3.85144626669435,111324.344943701
"67",1979,59550,28471,46817,55724.1809450798,66326,91329,146516,92392.5216216216,118555.682162162,224325.387027027,316051.142702703,707099.66972973,2818832.17027027,6636057,43.76,225106,29479.699998,0.80916543013843,3.78011754827876,111436.731280433,1.99979128253607,3.78011754827876,111436.731280433
"68",1980,60309,27027,45504,54154.2915750913,64449,90436,142931,91214.1940540541,116569.679459459,220713.823243243,310405.585405405,709209.223243243,2690857.01513514,6617922.6,47.75,227726,29060.897364,0.815566108538102,3.77598700028188,109733.57066299,2.02631347343602,3.77598700028188,109733.57066299
"69",1981,61019,26137,44491,53149.47848286,63493,89694,142352,89971.5383783784,114818.525405405,211247.380540541,296413.711351351,713120.984864865,2793647.20540541,6785892.48,52.23,230008,29502.85536,0.806581750909052,3.76944886019109,111209.504509135,2.09239126485499,3.76944886019109,111209.504509135
"70",1982,61393,25509,43686,52272.6337771496,62547,89740,146158,89058.6918918919,112999.98,210968.625405405,298516.117297297,749775.753513513,3356158.73081081,6654078.06,55.41,232218,28654.44879,0.773135784561912,3.78248334500676,108384.975308524,2.07345541015964,3.78248334500676,108384.975308524
"71",1983,62015,25400,43506,52460.9002400836,63259,90456,148867,89625.3918918919,115271.885405405,219025.976216216,314213.196756757,822589.045405405,3611742.47297297,6954769.08,57.6,234333,29678.997054,0.774327993480123,3.7786503265339,112146.551909296,2.13771687859082,3.7786503265339,112146.551909296
"72",1984,62706,25927,45100,54278.933298288,65326,93942,153810,91982.047027027,119469.54972973,229382.801621622,326491.696756757,852869.204864865,4205326.51675676,7454485.14,59.77,236394,31534.157508,0.776734605875624,3.76987848052818,118879.941790995,2.19016724477054,3.76987848052818,118879.941790995
"73",1985,63558,26482,45620,54906.7580539955,66084,96138,157406,94170.2237837838,123759.111351351,243979.155675676,347408.542702703,979537.376216216,4494142.36378378,7762996.62,61.58,238506,32548.437168,0.786241384390375,3.75257245350703,122140.368721341,2.22450519845349,3.75257245350703,122140.368721341
"74",1986,64491,27411,47186,56961.4231914899,68762,99012,163290,98029.9102702703,132306.581081081,277953.586486486,448486.38,1253111.54594595,6788054.10864865,8031839.1,62.94,240683,33371.024886,0.810255258013847,3.73204012963049,124542.00404145,2.18642718288079,3.73204012963049,124542.00404145
"75",1987,65204,27647,47693,57655.0666810819,69698,101003,164675,97928.8232432432,126718.204324324,256430.218378378,371852.202702703,936264.981081081,3803811.90864865,8288894.22,64.76,242843,34132.726356,0.769504808406402,3.72435740138642,127122.472033466,2.20487945554971,3.72435740138642,127122.472033466
"76",1988,65837,27590,47831,58001.6670881105,70335,102134,168075,99157.1837837838,130165.374054054,279056.354054054,425793.874054054,1212772.71675676,5619455.40162162,8629594.26,66.99,245061,35214.069294,0.774448157394342,3.72223825508453,131075.155843324,2.25985152537439,3.72223825508453,131075.155843324
"77",1989,66090,28026,49037,59193.6634953438,71454,104291,173316,99744.3054054054,131799.103783784,278270.121621622,421335.834054054,1120942.81081081,4849210.03567568,8937879.06,69.52,247387,36129.142452,0.760455490455491,3.74318353760024,135238.01125394,2.28467040673329,3.74318353760024,135238.01125394
"78",1990,66322,28102,48451,58291.2397363446,70130,102577,170752,98156.5243243243,129063.627567568,270536.453513513,410307.137297297,1091984.95135135,4603450.11459459,9105622.26,72.2,250181,36396.13749,0.755854265645893,3.77221736377069,137294.141813964,2.3553134645095,3.77221736377069,137294.141813964
"79",1991,67173,27377,46881,56977.7357307221,69249,101443,165591,98220.8524324324,130297.093513514,262454.596756757,392311.604324324,987161.788648649,3974404.94594595,9084314.34,74.76,253530,35831.318934,0.786860961728074,3.77428431066053,135237.58488287,2.37351630682563,3.77428431066053,135237.58488287
"80",1992,68216,26250,46606,56752.0998906648,69107,100598,166504,98049.3108108108,129104.470810811,273188.201081081,414492.548648649,1084744.46540541,4782359.8572973,9392599.14,76.53,256922,36558.179688,0.77538359925774,3.76630116101794,137689.114603617,2.42615013134105,3.76630116101794,137689.114603617
"81",1993,68506,26010,45981,56333.974278405,69018,102376,173476,98064.627027027,129322.982162162,273967.285945946,402371.295135135,1037338.73405405,4437420.28864865,9660421.56,78.22,260282,37115.211786,0.745480540029527,3.79940443172861,141015.700144274,2.50320879985084,3.79940443172861,141015.700144274
"82",1994,69313,26922,46971,57558.3058472016,70532,105045,180146,99527.8362162162,132298.412432432,280891.236756757,410683.916216216,1058144.28216216,4544979.94864865,10054051.38,79.87,263455,38162.31471,0.734395503827076,3.80094643140536,145052.913911143,2.52010394983151,3.80094643140536,145052.913911143
"83",1995,69597,27945,48336,58903.7753628747,71782,105889,181205,102135.677297297,136458.296756757,294745.264864865,437722.143243243,1155101.03621622,5163895.99297297,10306799.58,81.54,266588,38661.906096,0.753060328118743,3.83045246203141,148092.59339225,2.51414433930476,3.83045246203141,148092.59339225
"84",1996,70241,28091,48981,59763.6555106864,72920,107506,182707,101266.737297297,138049.141081081,313711.845945946,474085.903783784,1294887.03621622,6243880.17837838,10692382.26,83.09,269714,39643.407828,0.755576639543537,3.83983713215928,152224.229423288,2.54710372253031,3.83983713215928,152224.229423288
"85",1997,70884,28763,50299,61384.4360322712,74913,111777,191529,105287.754594595,144197.07027027,338050.334594595,515928.785405405,1488309.40432432,7491907.76162162,11168863.62,84.56,272958,40917.882126,0.752873299971651,3.85077027255798,157565.364106832,2.56686180229784,3.85077027255798,157565.364106832
"86",1998,71551,29764,51939,63319.6586061549,77194,115327,200080,109227.085405405,151147.569189189,357577.489189189,559384.975135135,1665719.17891892,8805550.01513514,11655318.9,85.51,276154,42205.866552,0.755435671677275,3.85954074715937,162895.261726615,2.57258591269127,3.85954074715937,162895.261726615
"87",1999,73206,30770,53307,65305.2312452839,80004,118828,209248,113382.885405405,157279.161081081,383823.357297297,600386.485945946,1839962.58108108,9864244.66,12217825.32,86.77,279328,43740.070794,0.751639973051504,3.8156435264869,166896.517973205,2.55563780712066,3.8156435264869,166896.517973205
"88",2000,73778,31345,53339,65361.5626037199,80094,119339,209125,116335.851891892,164891.320540541,405592.805945946,624370.659459459,2000899.25459459,11315992.2140541,12723548.4,88.65,282418,45052.185306,0.788482106589554,3.82794328932744,172457.210411639,2.63851113011524,3.82794328932744,172457.210411639
"89",2001,74340,30489,52247,64407.760037126,79399,119607,208475,113176.627027027,157714.141621622,365096.73027027,551061.122162162,1596039.58486486,7865236.44756757,12860916.48,90.65,285335,45073.039866,0.75651345063735,3.83824320688727,173001.289079434,2.68603176045421,3.83824320688727,173001.289079434
"90",2002,75616,30005,51808,63878.8047477409,78762,118104,205435,109941.842162162,151576.423243243,341090.092972973,512056.845945946,1401475.64810811,6576822.04432432,13082949.54,92.19,288133,45405.942114,0.737831544007804,3.81047661870504,173018.280775671,2.708539733311,3.81047661870504,173018.280775671
"91",2003,76232,29492,51431,63938.2193762072,79487,120087,207990,109230.148648649,150749.347567568,341259.592432432,513857.011891892,1429306.23405405,6909884.39783784,13415375.76,94.13,290845,46125.515106,0.72479132442698,3.81526130758736,175980.893076458,2.75235836708247,3.81526130758736,175980.893076458
"92",2004,76866,29496,51676,63638.0109997162,78369,119070,206753,111053.799459459,155236.998918919,370608.525945946,565769.795135135,1698964.55783784,8872193.93513514,13880636.46,96.78,293502,47293.15512,0.750833114484041,3.81835922254313,180582.255015615,2.83764769166686,3.81835922254313,180582.255015615
"93",2005,77418,29512,51868,63886.9688434191,78691,118779,212558,113177.648108108,159814.505405405,399751.201081081,622644.011351351,1965021.52864865,10932630.3854054,14306908.2,100,296229,48296.78082,0.751863046346905,3.8263582112687,184800.783868452,2.892620939982,3.8263582112687,184800.783868452
"94",2006,78454,30119,52429,64529.9999690067,79424,121757,213128,115252.484864865,163259.632972973,415637.180540541,654501.741081081,2109084.8372973,11575754.22,14687163.9,103.24,299052,49112.409462,0.766016820750783,3.8118132918653,187207.335182783,2.90108996238489,3.8118132918653,187207.335182783
"95",2007,77908,30225,53705,66099.6995076377,81355,122182,213926,117725.543243243,166835.458918919,428365.977297297,678772.838378378,2204650.87891892,12324121.9027027,14968133.76,106.23,302025,49559.252412,0.779874624491268,3.87668788827848,192125.753577737,2.90660555205,3.87668788827848,192125.753577737
"96",2008,78874,29040,51525,63534.8298179825,78344,118253,208918,112785.552972973,157939.800540541,380809.125945946,577799.151351351,1753003.23189189,9453245.22972973,14917697.46,108.57,304831,48937.60518,0.755989433847445,3.86478433957958,189133.290116193,2.97684420746904,3.86478433957958,189133.290116193
"97",2009,78867,28242,50241,62157.3237840884,76900,118006,209714,111924.781621622,154498.757297297,352859.073513513,515695.978918919,1418904.48108108,6880588.56054054,14397693.54,109.73,307483,46824.358212,0.736711699253733,3.89875359782926,182556.635045081,2.93700925218749,3.89875359782926,182556.635045081
"98",2010,79559,27357,49514,61478.4651402424,76334,117018,206515,110301.262702703,153570.594594595,359476.7,532234.429189189,1523631.66216216,8056643.20162162,14833939.2,111,310106,47835.056328,0.743629250149358,3.89781168692417,186452.041599954,3.03280248091144,3.89781168692417,186452.041599954
"651",2011,80529,27218,48502,60312.9339362628,75000,115866,205200,NA,NA,NA,NA,NA,NA,15091334.34,113.34,312041,48363.3114,NA,3.87488979125532,187402.501615162,3.10716938116797,3.87488979125532,187402.501615162
